City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
362,Ukwa,IN,57.52,clear sky,21.97,80.47,Chouksey Hotel & Rajat Transport
363,Medea,DZ,57.2,broken clouds,36.26,2.75,Hôtel M'Sallah
364,Carbonia,IT,54.0,broken clouds,39.17,8.52,Lu 'Hotel
367,Matiri,TZ,63.01,clear sky,-10.75,34.9,
371,Trnava,SK,37.4,clear sky,48.38,17.59,Hotel EMPIRE
372,Yangjiang,CN,63.12,clear sky,21.85,111.97,HUALUXE Yangjiang City Center
373,Mairana,BO,58.8,clear sky,-18.12,-63.93,Mi Terruño
376,Ekuvukeni,ZA,66.6,overcast clouds,-28.47,30.16,Sibeko Resident
377,Pandaria,IN,61.05,clear sky,22.23,81.42,"SC,ST Hostel,Samrupara"
380,Sechura,PE,67.95,overcast clouds,-5.56,-80.82,Hospedaje Costa Bella
381,Mayo,US,52.0,clear sky,38.89,-76.51,Resorts Resource Group International
382,Corsicana,US,55.4,overcast clouds,32.1,-96.47,Holiday Inn Express & Suites Corsicana I-45
383,Talcahuano,CL,60.8,overcast clouds,-36.72,-73.12,Hotel Terramar
384,Sulphur,US,60.8,moderate rain,30.24,-93.38,Fairfield Inn & Suites by Marriott Lake Charles Sulphur
385,Myitkyina,MM,57.51,clear sky,25.38,97.4,Shwe Phyu Hotel
386,Santa Marinella,IT,48.99,overcast clouds,42.03,11.85,"VILLA GREGORACI - b & b, guest houses, Santa Marinella"
389,Mount Gambier,AU,60.8,broken clouds,-37.83,140.77,Commodore on the Park
391,Pingliang,CN,28.89,clear sky,35.54,106.69,Xinxiang Hostel
393,Urumqi,CN,30.2,light snow,43.8,87.6,Hua Ling Grand Hotel Urumqi
394,Laguna,US,62.6,clear sky,38.42,-121.42,Holiday Inn Express & Suites Elk Grove Central - Hwy 99
396,Dunedin,NZ,59.0,scattered clouds,-45.87,170.5,Scenic Hotel Southern Cross
399,Mongo,TD,69.67,clear sky,12.18,18.69,Résidences du Programme FIDA
400,Tura,IN,60.73,clear sky,25.52,90.22,Hotel RIKMAN Continental
401,Cumberland,US,53.6,clear sky,35.05,-78.87,American Eagle Inn
404,Gushikawa,JP,68.0,overcast clouds,26.35,127.87,Kirari Guest House
405,Kijang,KR,37.4,clear sky,35.24,129.21,Brown Dot Gijang Yeonhwari
407,Bikramganj,IN,59.68,clear sky,25.2,84.25,Hotel Jairam
408,Tuatapere,NZ,57.0,scattered clouds,-46.13,167.68,Ron and Tony's Bed & Breakfast
409,Oyugis,KE,62.04,overcast clouds,-0.51,34.74,Hotel Ayadom
411,Areosa,PT,59.0,broken clouds,41.72,-8.86,Hotel Flôr de Sal
413,Plettenberg Bay,ZA,58.86,clear sky,-34.05,23.37,Thanda Vista B&B
414,Kitob,UZ,38.95,scattered clouds,39.08,66.83,ULUG'BEK Hotel&Spa
420,Lawton,US,44.6,moderate rain,34.61,-98.39,Holiday Inn Express & Suites Lawton-Fort Sill
422,Parry Sound,CA,42.01,scattered clouds,45.35,-80.03,Bayside Inn
424,Vila,PT,51.01,overcast clouds,42.03,-8.16,Hotel Castrum Villae
426,Tukrah,LY,61.56,scattered clouds,32.53,20.58,Lokta restaurant
427,Kapiri Mposhi,ZM,66.31,broken clouds,-13.97,28.68,MA 22 LODGE
431,Elat,IL,59.0,clear sky,29.56,34.95,Club Hotel Eilat
432,Guerrero,MX,69.55,few clouds,17.67,-100.0,
434,Shimoda,JP,53.6,broken clouds,34.67,138.95,Shimoda Tokyu Hotel
435,Chipiona,ES,59.0,overcast clouds,36.74,-6.44,Al Sur De Chipiona
437,Hornepayne,CA,30.78,overcast clouds,49.21,-84.77,Jackfish River Inn
440,Fort-Shevchenko,KZ,38.21,broken clouds,44.51,50.26,Oasis hotel Bautino
443,Jalu,LY,56.34,clear sky,29.03,21.55,صاحبة الفخامة
448,Babu,CN,49.91,clear sky,24.42,111.52,IU Hotel Hezhou Bus Terminal
449,Mentougou,CN,32.0,clear sky,39.94,116.09,北京京西晨光饭店
451,Correntina,BR,68.25,scattered clouds,-13.34,-44.64,Hotel Pousada dos Sonhos
452,Cervo,ES,43.0,overcast clouds,43.67,-7.41,Hotel Spa Galatea
456,Biltine,TD,69.51,clear sky,14.53,20.92,Hôtel Trois Étoiles de Biltine
457,Kaspi,GE,33.8,clear sky,41.93,44.43,Nikola
458,Great Yarmouth,GB,48.2,haze,52.61,1.73,Comfort Hotel Great Yarmouth
459,Ancud,CL,50.0,clear sky,-41.87,-73.82,Hotel Arena Gruesa
463,Kaspiyskiy,RU,44.19,overcast clouds,45.39,47.37,"Gostinitsa ""Gostevoy Dvor"""
465,Kutum,SD,56.25,clear sky,14.2,24.67,Dibbo areaمنطقة دبو
467,Halifax,CA,43.0,overcast clouds,44.65,-63.57,Hotel Halifax
468,Suriapet,IN,69.21,few clouds,17.15,79.62,OYO 45679 Hotel Tirumala Grand
469,Comodoro Rivadavia,AR,60.8,clear sky,-45.87,-67.5,Austral Hotel
470,Arnstadt,DE,33.8,overcast clouds,50.83,10.95,Hotelpark Stadtbrauerei Arnstadt
471,Bor,RU,30.99,light snow,56.36,44.07,Oktyabrskaya Hotel
472,Bojnurd,IR,33.8,clear sky,37.47,57.33,Homag Commercial & Social Complex
473,Umm Kaddadah,SD,64.08,clear sky,13.6,26.69,
474,Huejucar,MX,63.79,clear sky,22.35,-103.22,Hotel Villarreal
476,Hays,US,52.0,overcast clouds,30.05,-98.03,Sinya on Lone Man Creek
479,Kaeo,NZ,64.47,overcast clouds,-35.1,173.78,Bushido Lodge
484,Suicheng,CN,38.43,clear sky,33.9,117.93,Junyue Hotel
485,Lauda-Konigshofen,DE,32.0,mist,49.57,9.7,Hotel Adler
486,Port Hawkesbury,CA,41.0,overcast clouds,45.62,-61.35,MacKenzie House Tourist Home B&B
488,Asau,RO,33.01,overcast clouds,46.43,26.4,Casa Mika Ciobanus
489,Shingu,JP,51.8,scattered clouds,33.73,135.98,Shingu UI Hotel
491,Kondagaon,IN,61.86,clear sky,19.6,81.67,AYAN MOTER
496,Nuuk,GL,28.4,light snow,64.18,-51.72,Vandrehuset
499,Rawson,AR,54.57,overcast clouds,-43.3,-65.1,Hotel Punta León
501,Shablykino,RU,38.01,moderate rain,52.86,35.2,
503,Coquimbo,CL,59.0,clear sky,-29.95,-71.34,Hotel San Juan
504,Iquique,CL,66.2,clear sky,-20.22,-70.14,Backpacker`s Hostel Iquique
505,Ahipara,NZ,64.76,overcast clouds,-35.17,173.17,Ahipara Holiday Park
506,Setaka,JP,53.01,broken clouds,33.15,130.47,旅館
508,Faya,SA,57.2,clear sky,18.39,42.45,مقبرة ال مجمل
509,Villa Carlos Paz,AR,70.0,clear sky,-31.42,-64.5,Monte Carlo
511,Moron,AR,68.0,clear sky,-34.65,-58.62,Hotel Morón
512,Buraydah,SA,59.0,mist,26.33,43.98,Mövenpick Hotel Qassim
513,Buncrana,IE,44.44,overcast clouds,55.13,-7.45,Inishowen Gateway Hotel
515,Peniche,PT,52.0,scattered clouds,39.36,-9.38,Hotel Star inn Peniche
519,Kinsale,IE,51.01,mist,51.71,-8.53,Actons Hotel Kinsale
524,Muros,ES,51.01,light rain,42.78,-9.06,Apartment Av. Castelao
527,Guelph,CA,36.0,clear sky,43.55,-80.25,Holiday Inn Guelph Hotel & Conference Ctr
529,Kolomna,RU,33.8,light rain,55.08,38.78,Kolomna Hotel
534,Eyrarbakki,IS,37.4,light rain,63.86,-21.15,Guesthouse 77
535,Waling,NP,53.19,clear sky,27.98,83.77,River Side
539,Alta,NO,32.0,clear sky,69.97,23.27,Scandic Alta
540,Zuwarah,LY,61.77,scattered clouds,32.93,12.08,سالمة نورالدين المخزوم الزليطني
541,Prince Rupert,CA,44.6,light rain,54.32,-130.32,Crest Hotel
544,Colquechaca,BO,42.93,clear sky,-18.67,-66.02,
547,Huarmey,PE,66.61,light rain,-10.07,-78.15,Hotel Miramar
548,Pahrump,US,57.2,clear sky,36.21,-115.98,Best Western Pahrump Oasis
550,Lakes Entrance,AU,70.0,overcast clouds,-37.88,147.98,The Esplanade Resort & Spa
555,Portsmouth,GB,46.99,overcast clouds,50.8,-1.09,Best Western Royal Beach Hotel
556,Watsa,CD,63.61,overcast clouds,3.04,29.54,Hôtel Le Pacifique
557,Saint-Francois,FR,34.0,clear sky,46.42,3.91,Manoir Du Bonheur
558,Chapais,CA,28.4,light snow,49.78,-74.85,Hôtel Opémiska
559,Kushima,JP,53.6,scattered clouds,31.46,131.23,Hanaoka
561,Rehnan,IR,42.8,mist,32.68,51.6,Partak Hotel
564,Marienburg,PL,37.99,overcast clouds,54.04,19.03,Hotel Centrum Malbork
565,Andenes,NO,42.8,light rain,69.31,16.12,Hotell Marena
567,Green River,US,37.4,clear sky,41.53,-109.47,Hampton Inn & Suites Green River
569,Necsesti,RO,39.2,overcast clouds,44.25,25.15,
572,Birjand,IR,53.6,broken clouds,32.87,59.22,Birjand Tourist Hotel
573,Bilma,NE,68.85,clear sky,18.69,12.92,Expeditions Ténére voyages
574,Den Helder,NL,41.0,mist,52.96,4.76,Hotel Den Helder
576,Burgeo,CA,42.53,overcast clouds,47.62,-57.62,Gillett's Motel
580,Sainte-Claire,CA,35.01,overcast clouds,46.6,-70.86,Villa Prevost Inc (CHSLD ST-Claire)
585,Lamar,US,52.0,clear sky,33.67,-95.58,Kings Inn Paris TX
586,Rocha,UY,69.28,overcast clouds,-34.48,-54.33,Beleza Pura B&B
588,Indian Head,US,53.6,clear sky,38.6,-77.16,Red Carpet Inn
589,San Patricio,US,66.2,overcast clouds,28.02,-97.52,"Motel 6 Sinton, TX"
592,Monywa,MM,64.83,clear sky,22.12,95.13,Monywa Hotel
593,Amberley,US,42.01,clear sky,39.2,-84.43,"Motel 6 Cincinnati, OH - Central - Norwood"
594,Lata,PT,50.0,overcast clouds,40.16,-8.33,Casa Maquia
595,Tunceli,TR,32.0,clear sky,39.11,39.55,Grand Hotel Şaroğlu
596,Hillsborough,US,57.0,clear sky,37.57,-122.38,Hyatt Regency San Francisco Airport
599,Avera,US,57.2,haze,33.19,-82.53,
601,Brae,GB,46.4,overcast clouds,60.4,-1.35,Busta House Hotel
602,Finnsnes,NO,41.0,overcast clouds,69.23,17.98,Finnsnes Hotel - A SNR Hotel
604,Gazli,UZ,29.77,clear sky,40.13,63.45,
606,Xingyi,CN,46.89,overcast clouds,24.19,102.82,
610,Gazanjyk,TM,40.53,overcast clouds,39.24,55.52,Railway motel
612,Klaksvik,FO,41.0,light rain,62.23,-6.59,Airbnb rooms
613,Chishtian Mandi,PK,54.75,clear sky,29.8,72.87,IQBAL Hostal Govt P/G College CTN
616,Ruston,US,50.0,clear sky,32.52,-92.64,"Country Inn & Suites by Radisson, Ruston, LA"
617,Ngunguru,NZ,66.45,scattered clouds,-35.62,174.5,Pacific Rendezvous Motel Resort
619,San Julian,MX,66.24,few clouds,21.02,-102.17,La Nueva España
620,Havoysund,NO,37.4,broken clouds,71.0,24.66,Arctic View Glamping & Restaurant
624,Callaway,US,68.0,broken clouds,30.15,-85.57,Holiday Inn Express & Suites Panama City-Tyndall
625,Behbahan,IR,57.2,thunderstorm with rain,30.6,50.24,Hemidecenglyaei
627,Vilcun,CL,53.6,overcast clouds,-38.65,-72.23,"Rayen-Co, Rural Tourism"
628,Seydi,TM,29.48,scattered clouds,39.48,62.91,Pidaraz mentler ketegi
629,Blairmore,CA,32.0,scattered clouds,49.6,-114.44,Highwood Motel
632,Lodja,CD,67.51,light rain,-3.48,23.43,
633,Tulu Bolo,ET,53.6,scattered clouds,8.67,38.22,Kiya Sime Hotel
638,Ushtobe,KZ,25.36,clear sky,45.25,77.98,"Gostinitsa ""Diyar"""
641,Ecoporanga,BR,67.89,few clouds,-18.37,-40.83,Hotel Bar e Restaurante do Dico
642,Kashima,JP,51.8,broken clouds,33.11,130.09,Sky Tower Hotel
646,Zamora,EC,67.23,overcast clouds,-4.07,-78.96,Cabañas Ecológicas Copalinga
647,Korem,ET,51.49,clear sky,12.51,39.52,
648,Pietersburg,ZA,66.2,clear sky,-23.9,29.47,Fusion Boutique Hotel
650,Kamaishi,JP,35.6,broken clouds,39.27,141.88,Hotel Route Inn Kamaishi
653,Furtwangen,DE,34.0,overcast clouds,48.05,8.2,Landhotel Thälerhäusle Ochsen
654,Roma,US,33.8,clear sky,43.21,-75.46,Wingate By Wyndham Rome
657,Nedryhayliv,UA,37.54,overcast clouds,50.83,33.88,Staryi Mlyn
658,Marzuq,YE,60.48,clear sky,14.4,46.47,
660,Bismarck,US,48.2,clear sky,46.81,-100.78,Ramkota Hotel & Conference Center
661,Sandwick,GB,46.4,overcast clouds,60.0,-1.25,Beach House Self-Catering Accomodation
662,Goderich,CA,41.0,clear sky,43.75,-81.72,Harmony Inn
664,Waiuku,NZ,63.0,overcast clouds,-37.25,174.75,Waiuku Lodge Motel
666,Launceston,AU,66.0,broken clouds,-41.45,147.17,Hotel Grand Chancellor Launceston
669,Margate,GB,48.99,clear sky,51.38,1.39,Premier Inn Margate hotel
673,Aksay,RU,39.2,mist,47.26,39.87,Chernaya Zhemchuzhina
674,Mantua,IT,44.01,overcast clouds,45.17,10.78,Hotel la Favorita
675,Solomenskoye,RU,34.84,few clouds,44.22,44.35,
676,Vawkavysk,BY,27.34,scattered clouds,53.16,24.45,Krasnosiel'skii
677,Namanyere,TZ,61.52,broken clouds,-7.52,31.05,Manyovu Lodge
680,Le Mars,US,43.0,clear sky,42.79,-96.17,Holiday Inn Express & Suites Le Mars
682,Mwense,ZM,67.78,light rain,-10.38,28.7,GrandPalm Lodge
683,Kumluca,TR,59.27,clear sky,36.37,30.29,TurkuazKöy
684,Nantucket,US,48.2,scattered clouds,41.28,-70.1,Jared Coffin House
685,Rio De Loba,PT,50.0,broken clouds,40.67,-7.88,Pousada Viseu & charming SPA
686,Guerrero Negro,MX,64.38,clear sky,27.98,-114.06,"Casa Laguna, Bed & Breakfast"
687,Gat,IL,57.2,clear sky,31.61,34.76,OlusHome
689,Doka,SD,68.67,clear sky,13.52,35.77,
690,Bath,GB,48.0,overcast clouds,51.38,-2.36,Francis Hotel Bath - MGallery
693,Blankenberge,BE,39.99,clear sky,51.31,3.13,Hotel Concordia
696,Marshall,US,51.01,clear sky,34.38,-86.33,Lake Guntersville Bed and Breakfast
699,Longkou,CN,40.05,overcast clouds,37.65,120.33,Pai Hotel Yantai Longkou City Heping Road
